0.5055652137231899
(0) --> prob=[0.034162009638399715,0.9658379903616003], prediction=1.0
(102) --> prob=[0.9515380865891325,0.04846191341086743], prediction=0.0
(104) --> prob=[0.7854953058173268,0.21450469418267315], prediction=0.0
(106) --> prob=[7.143248503650115E-5,0.9999285675149635], prediction=1.0
(108) --> prob=[0.9992136727510957,7.863272489042618E-4], prediction=0.0
(110) --> prob=[0.999999986844178,1.3155821953075238E-8], prediction=0.0
(112) --> prob=[0.8125536491661133,0.18744635083388678], prediction=0.0
(114) --> prob=[0.0012992553052573695,0.9987007446947427], prediction=1.0
(116) --> prob=[0.007063859694283262,0.9929361403057168], prediction=1.0
(118) --> prob=[0.19885493481240557,0.8011450651875943], prediction=1.0
(120) --> prob=[1.6198764585024129E-7,0.999999838012354], prediction=1.0
(122) --> prob=[0.7639577485738515,0.2360422514261484], prediction=0.0
(124) --> prob=[0.15454889667280908,0.845451103327191], prediction=1.0
(126) --> prob=[6.10222211277353E-10,0.9999999993897777], prediction=1.0
(128) --> prob=[4.7952616939037236E-4,0.9995204738306097], prediction=1.0
(130) --> prob=[0.006666850970309691,0.9933331490296902], prediction=1.0
(132) --> prob=[6.24203817790072E-5,0.999937579618221], prediction=1.0
(134) --> prob=[0.26713982424607985,0.73286017575392], prediction=1.0
(136) --> prob=[0.38683575555604577,0.6131642444439542], prediction=1.0
(138) --> prob=[0.0721822303704545,0.9278177696295455], prediction=1.0
(140) --> prob=[0.9425485577180871,0.057451442281912804], prediction=0.0
(142) --> prob=[0.9997995202088115,2.0047979118862947E-4], prediction=0.0
(144) --> prob=[0.9967086059694843,0.0032913940305156716], prediction=0.0
(146) --> prob=[0.48911041175763875,0.5108895882423613], prediction=1.0
(148) --> prob=[1.8672220934452342E-11,0.9999999999813278], prediction=1.0
(150) --> prob=[0.02273478463460625,0.9772652153653937], prediction=1.0
(152) --> prob=[0.9984640112076179,0.0015359887923821155], prediction=0.0
(154) --> prob=[6.163120938554801E-4,0.9993836879061445], prediction=1.0
(156) --> prob=[0.9944199685456113,0.0055800314543886865], prediction=0.0
(158) --> prob=[0.264932225165734,0.735067774834266], prediction=1.0
(160) --> prob=[0.9994109999574309,5.890000425690748E-4], prediction=0.0
(162) --> prob=[1.0767197124237484E-7,0.9999998923280287], prediction=1.0
(164) --> prob=[0.753538150078369,0.24646184992163103], prediction=0.0
(166) --> prob=[0.0990430015673636,0.9009569984326364], prediction=1.0
(168) --> prob=[0.9999972552935118,2.744706488291629E-6], prediction=0.0
(170) --> prob=[0.9995068903234892,4.931096765108559E-4], prediction=0.0
(172) --> prob=[1.898752840408839E-4,0.9998101247159592], prediction=1.0
(174) --> prob=[0.8256778349454954,0.17432216505450462], prediction=0.0
(176) --> prob=[0.9999939387432568,6.0612567430769515E-6], prediction=0.0
(178) --> prob=[0.9856618532395576,0.014338146760442545], prediction=0.0
(180) --> prob=[3.4870217189157053E-6,0.9999965129782811], prediction=1.0
(182) --> prob=[0.9344058985756943,0.06559410142430555], prediction=0.0
(184) --> prob=[0.9996775517185964,3.224482814036962E-4], prediction=0.0
(186) --> prob=[0.04358493439159691,0.9564150656084032], prediction=1.0
(188) --> prob=[0.9568167566006952,0.043183243399304815], prediction=0.0
(190) --> prob=[0.0013436353005626127,0.9986563646994374], prediction=1.0
(192) --> prob=[0.27991718689087386,0.7200828131091263], prediction=1.0
(194) --> prob=[0.6931779077632996,0.3068220922367004], prediction=0.0
(196) --> prob=[0.028908754848623822,0.9710912451513761], prediction=1.0
(198) --> prob=[3.510473828584213E-4,0.9996489526171415], prediction=1.0
(200) --> prob=[5.063539050824575E-5,0.9999493646094918], prediction=1.0
(202) --> prob=[0.031124782959207255,0.9688752170407928], prediction=1.0
(204) --> prob=[0.05356805828129105,0.946431941718709], prediction=1.0
(206) --> prob=[0.8883860545682989,0.11161394543170106], prediction=0.0
(208) --> prob=[3.6877440342638354E-7,0.9999996312255967], prediction=1.0
(210) --> prob=[1.2996153939513837E-5,0.9999870038460605], prediction=1.0
(212) --> prob=[0.036205917514919604,0.9637940824850805], prediction=1.0
(214) --> prob=[0.0018773195035216527,0.9981226804964785], prediction=1.0
(216) --> prob=[1.407606547351168E-4,0.9998592393452649], prediction=1.0
(218) --> prob=[0.38350736599540025,0.6164926340045997], prediction=1.0
(220) --> prob=[0.9999937598591534,6.240140846526263E-6], prediction=0.0
(222) --> prob=[0.5868401596863615,0.4131598403136385], prediction=0.0
(224) --> prob=[0.9999992992978619,7.007021381505721E-7], prediction=0.0
(226) --> prob=[0.8852039105817007,0.11479608941829933], prediction=0.0
(228) --> prob=[0.9985420483539545,0.0014579516460455572], prediction=0.0
(230) --> prob=[0.0567165142797242,0.9432834857202759], prediction=1.0
(232) --> prob=[0.618363966997141,0.381636033002859], prediction=0.0
(234) --> prob=[0.888489830437241,0.11151016956275919], prediction=0.0
(236) --> prob=[3.405963881006043E-4,0.9996594036118994], prediction=1.0
(238) --> prob=[0.9433165945843407,0.05668340541565927], prediction=0.0
(240) --> prob=[0.983261387080367,0.016738612919632963], prediction=0.0
(242) --> prob=[0.013302890255925614,0.9866971097440743], prediction=1.0
(244) --> prob=[0.178249575712184,0.821750424287816], prediction=1.0
(246) --> prob=[0.9995719776320087,4.280223679912323E-4], prediction=0.0
(248) --> prob=[0.8961911805081564,0.10380881949184351], prediction=0.0
(250) --> prob=[0.10482021471759616,0.8951797852824039], prediction=1.0
(252) --> prob=[2.986569268537664E-10,0.9999999997013431], prediction=1.0
(254) --> prob=[0.9943924007839567,0.005607599216043347], prediction=0.0
(256) --> prob=[0.9986493908749855,0.0013506091250145508], prediction=0.0
(258) --> prob=[0.20812678821259856,0.7918732117874016], prediction=1.0
(260) --> prob=[0.9999876879622659,1.2312037734154336E-5], prediction=0.0
(262) --> prob=[0.026000185241700752,0.9739998147582992], prediction=1.0
(264) --> prob=[0.43755886337433286,0.5624411366256671], prediction=1.0
(266) --> prob=[0.9944601331383981,0.005539866861602], prediction=0.0
(268) --> prob=[0.807806812628823,0.192193187371177], prediction=0.0
(270) --> prob=[1.4093227057746272E-15,0.9999999999999987], prediction=1.0
(272) --> prob=[0.9709928866873022,0.02900711331269766], prediction=0.0
(274) --> prob=[0.004980378588906199,0.9950196214110938], prediction=1.0
(276) --> prob=[2.3934128565803195E-6,0.9999976065871433], prediction=1.0
(278) --> prob=[0.9910907690858494,0.008909230914150528], prediction=0.0
(280) --> prob=[0.9985509707067708,0.0014490292932292377], prediction=0.0
(282) --> prob=[0.997888227181967,0.002111772818032959], prediction=0.0
(284) --> prob=[5.5498287241386875E-5,0.9999445017127587], prediction=1.0
(286) --> prob=[0.042937911790425644,0.9570620882095744], prediction=1.0
(288) --> prob=[0.0018553612001120804,0.998144638799888], prediction=1.0
(290) --> prob=[0.19331432425996825,0.8066856757400318], prediction=1.0
(292) --> prob=[0.019389355623317048,0.9806106443766831], prediction=1.0
(294) --> prob=[0.0620778273164073,0.9379221726835928], prediction=1.0
(296) --> prob=[0.9999997237723585,2.762276414221607E-7], prediction=0.0
(298) --> prob=[0.23507792392932556,0.7649220760706744], prediction=1.0
(300) --> prob=[0.06859874325689641,0.9314012567431036], prediction=1.0
(302) --> prob=[0.969923296148985,0.030076703851014935], prediction=0.0
(304) --> prob=[0.011704948587529178,0.9882950514124708], prediction=1.0
(306) --> prob=[6.769676016667484E-5,0.9999323032398333], prediction=1.0
(308) --> prob=[0.9994122312487251,5.877687512748843E-4], prediction=0.0
(310) --> prob=[0.9852537360726035,0.014746263927396594], prediction=0.0
(312) --> prob=[0.9991160777906184,8.83922209381621E-4], prediction=0.0
(314) --> prob=[0.06727053777876653,0.9327294622212335], prediction=1.0
(316) --> prob=[0.023052629311969004,0.9769473706880311], prediction=1.0
(318) --> prob=[0.9999943963240836,5.603675916257335E-6], prediction=0.0
(320) --> prob=[0.713213733034027,0.2867862669659729], prediction=0.0
(322) --> prob=[0.9963556246993195,0.003644375300680531], prediction=0.0
(324) --> prob=[0.9977392791627503,0.0022607208372497586], prediction=0.0
(326) --> prob=[0.4963297412204847,0.5036702587795153], prediction=1.0
(328) --> prob=[6.788777972022232E-4,0.9993211222027978], prediction=1.0
(330) --> prob=[1.8700353834081115E-5,0.9999812996461659], prediction=1.0
(332) --> prob=[0.4946103846941258,0.5053896153058741], prediction=1.0
(334) --> prob=[0.005155177964905767,0.9948448220350943], prediction=1.0
(336) --> prob=[0.9999999998690046,1.3099537934632958E-10], prediction=0.0
(338) --> prob=[0.9995942730240567,4.057269759432943E-4], prediction=0.0
(340) --> prob=[0.0022664889740617073,0.9977335110259383], prediction=1.0
(342) --> prob=[0.006974247145809151,0.9930257528541909], prediction=1.0
(344) --> prob=[0.8887889306437402,0.11121106935625975], prediction=0.0
(346) --> prob=[0.01891631980315579,0.9810836801968443], prediction=1.0
(348) --> prob=[0.8854742333335839,0.11452576666641612], prediction=0.0
(350) --> prob=[0.999999995184288,4.815712131669822E-9], prediction=0.0
(352) --> prob=[0.7639822584721754,0.23601774152782456], prediction=0.0
(354) --> prob=[0.7158533577286835,0.2841466422713164], prediction=0.0
(356) --> prob=[0.16895560379043048,0.8310443962095695], prediction=1.0
(358) --> prob=[0.999989448089751,1.0551910248995822E-5], prediction=0.0
(360) --> prob=[0.019071947186705757,0.9809280528132943], prediction=1.0
(362) --> prob=[0.980641740239257,0.019358259760743072], prediction=0.0
(364) --> prob=[0.710415653731851,0.28958434626814905], prediction=0.0
(366) --> prob=[6.449819550179686E-4,0.9993550180449821], prediction=1.0
(368) --> prob=[0.9998815671559019,1.1843284409815309E-4], prediction=0.0
(370) --> prob=[0.010095688603424902,0.9899043113965752], prediction=1.0
(372) --> prob=[1.703280554642034E-6,0.9999982967194453], prediction=1.0
(374) --> prob=[0.0018052457102296934,0.9981947542897703], prediction=1.0
(376) --> prob=[0.9999982988519063,1.7011480937556442E-6], prediction=0.0
(378) --> prob=[0.9999999169173306,8.30826694418071E-8], prediction=0.0
(380) --> prob=[0.9937221056719542,0.006277894328045889], prediction=0.0
(382) --> prob=[0.24028966459070947,0.7597103354092904], prediction=1.0
(384) --> prob=[0.027530317347793376,0.9724696826522067], prediction=1.0
(386) --> prob=[0.9999176125018485,8.23874981513372E-5], prediction=0.0
(388) --> prob=[5.641798174337845E-6,0.9999943582018256], prediction=1.0
(390) --> prob=[0.9997860586245284,2.1394137547157724E-4], prediction=0.0
(392) --> prob=[0.12267695105957054,0.8773230489404295], prediction=1.0
(394) --> prob=[0.27361392351441927,0.7263860764855807], prediction=1.0
(396) --> prob=[0.9992666786714804,7.333213285195606E-4], prediction=0.0
(398) --> prob=[0.8996436266100176,0.1003563733899823], prediction=0.0
(400) --> prob=[8.460193342603012E-9,0.9999999915398067], prediction=1.0
(402) --> prob=[0.9993208559603992,6.791440396007935E-4], prediction=0.0
(404) --> prob=[0.0039667488840113485,0.9960332511159887], prediction=1.0
(406) --> prob=[0.9999999849090377,1.5090962287329187E-8], prediction=0.0
(408) --> prob=[0.4896705895260143,0.5103294104739857], prediction=1.0
(410) --> prob=[0.9994365251881951,5.634748118048879E-4], prediction=0.0
(412) --> prob=[2.9770953899260594E-6,0.99999702290461], prediction=1.0
(414) --> prob=[9.217039702492011E-8,0.999999907829603], prediction=1.0
(416) --> prob=[0.9990394951836636,9.605048163364562E-4], prediction=0.0
(418) --> prob=[0.9999958496048488,4.150395151294833E-6], prediction=0.0
(420) --> prob=[0.42107951944732613,0.5789204805526738], prediction=1.0
(422) --> prob=[0.17955788510179932,0.8204421148982006], prediction=1.0
(424) --> prob=[0.9981618390402086,0.00183816095979147], prediction=0.0
(426) --> prob=[0.898169789231492,0.10183021076850798], prediction=0.0
(428) --> prob=[8.987919839480476E-14,0.9999999999999101], prediction=1.0
(430) --> prob=[0.999980997130479,1.900286952101046E-5], prediction=0.0
(432) --> prob=[1.7236321376026837E-5,0.999982763678624], prediction=1.0
(434) --> prob=[1.06422558610488E-5,0.9999893577441389], prediction=1.0
(436) --> prob=[0.11987371427202143,0.8801262857279786], prediction=1.0
(438) --> prob=[0.01249929642722949,0.9875007035727704], prediction=1.0
(440) --> prob=[0.23491140265293972,0.7650885973470603], prediction=1.0
(442) --> prob=[1.51310523318551E-4,0.9998486894766814], prediction=1.0
(444) --> prob=[0.196068006602739,0.803931993397261], prediction=1.0
(446) --> prob=[0.0578479317158989,0.942152068284101], prediction=1.0
(448) --> prob=[4.0952995498259764E-5,0.9999590470045018], prediction=1.0
(450) --> prob=[5.200482008313216E-4,0.9994799517991686], prediction=1.0
(452) --> prob=[0.7001944788242851,0.2998055211757149], prediction=0.0
(454) --> prob=[0.05490648607887375,0.9450935139211263], prediction=1.0
(456) --> prob=[0.9998970774879635,1.0292251203658604E-4], prediction=0.0
(458) --> prob=[0.8460182144074231,0.1539817855925769], prediction=0.0
(460) --> prob=[0.9999999928334111,7.166588925470518E-9], prediction=0.0
(462) --> prob=[0.04828359586888132,0.9517164041311186], prediction=1.0
(464) --> prob=[0.00623219571674557,0.9937678042832543], prediction=1.0
(466) --> prob=[0.9999979272935593,2.0727064406608993E-6], prediction=0.0
(468) --> prob=[4.057275710025011E-4,0.9995942724289976], prediction=1.0
(470) --> prob=[0.03254895483607566,0.9674510451639242], prediction=1.0
(472) --> prob=[0.012629716041559316,0.9873702839584406], prediction=1.0
(474) --> prob=[0.07670186905654357,0.9232981309434566], prediction=1.0
(476) --> prob=[0.4566791269586463,0.5433208730413537], prediction=1.0
(478) --> prob=[0.9278688122836216,0.07213118771637832], prediction=0.0
(480) --> prob=[9.6381246041684E-4,0.9990361875395831], prediction=1.0
(482) --> prob=[1.1263964469519132E-8,0.9999999887360355], prediction=1.0
(484) --> prob=[0.9470384187208326,0.05296158127916737], prediction=0.0
(486) --> prob=[0.03212996318758271,0.9678700368124172], prediction=1.0
(488) --> prob=[1.9903655469906043E-4,0.999800963445301], prediction=1.0
(490) --> prob=[0.9947429755262036,0.005257024473796372], prediction=0.0
(492) --> prob=[0.9546057346255069,0.04539426537449316], prediction=0.0
(494) --> prob=[0.9799443673156929,0.02005563268430705], prediction=0.0
(496) --> prob=[7.814373069956138E-4,0.9992185626930045], prediction=1.0
(498) --> prob=[4.465667653103554E-14,0.9999999999999554], prediction=1.0
(500) --> prob=[0.003501372305920583,0.9964986276940794], prediction=1.0
(502) --> prob=[1.358328508559012E-9,0.9999999986416714], prediction=1.0
(504) --> prob=[0.9999989781148602,1.0218851399300594E-6], prediction=0.0
(506) --> prob=[0.5309190719796429,0.4690809280203571], prediction=0.0
(508) --> prob=[0.9999999998758431,1.241568951763632E-10], prediction=0.0
(510) --> prob=[0.9999999978924421,2.107557824513808E-9], prediction=0.0
(512) --> prob=[0.9945530988361346,0.005446901163865234], prediction=0.0
(514) --> prob=[0.9897274963321175,0.010272503667882592], prediction=0.0
(516) --> prob=[2.0847106744815007E-4,0.999791528932552], prediction=1.0
(518) --> prob=[0.9813325101708388,0.018667489829161235], prediction=0.0
(520) --> prob=[0.9860679480215157,0.013932051978484348], prediction=0.0
(522) --> prob=[0.979968166010956,0.020031833989044064], prediction=0.0
(524) --> prob=[0.055892142781182215,0.9441078572188178], prediction=1.0
(526) --> prob=[0.9999963502341073,3.6497658926289403E-6], prediction=0.0
(528) --> prob=[1.7953713652174124E-4,0.9998204628634783], prediction=1.0
(530) --> prob=[0.8545954568208423,0.14540454317915782], prediction=0.0
(532) --> prob=[0.6504188682010081,0.34958113179899186], prediction=0.0
(534) --> prob=[9.598715095786035E-5,0.9999040128490421], prediction=1.0
(536) --> prob=[7.966222777048127E-4,0.9992033777222952], prediction=1.0
(538) --> prob=[0.9999964116691373,3.5883308626785403E-6], prediction=0.0
(540) --> prob=[0.0011088669982284051,0.9988911330017716], prediction=1.0
(542) --> prob=[0.8701538933610787,0.1298461066389213], prediction=0.0
(544) --> prob=[0.0022150499517144414,0.9977849500482856], prediction=1.0
(546) --> prob=[0.21684328359173774,0.7831567164082622], prediction=1.0
(548) --> prob=[0.600309666682398,0.39969033331760195], prediction=0.0
(550) --> prob=[0.013471420927329407,0.9865285790726707], prediction=1.0
(552) --> prob=[0.9921017313925469,0.007898268607453093], prediction=0.0
(554) --> prob=[0.9904018328349382,0.00959816716506174], prediction=0.0
(556) --> prob=[2.3392095211887707E-6,0.9999976607904789], prediction=1.0
(558) --> prob=[0.9502643161852989,0.049735683814701045], prediction=0.0
(560) --> prob=[0.757310939776447,0.24268906022355302], prediction=0.0
(562) --> prob=[0.2254424110535368,0.7745575889464632], prediction=1.0
(564) --> prob=[1.992334701553626E-6,0.9999980076652984], prediction=1.0
(566) --> prob=[0.9750937287993131,0.024906271200686857], prediction=0.0
(568) --> prob=[5.916318146243672E-4,0.9994083681853756], prediction=1.0
(570) --> prob=[2.725529283984576E-6,0.999997274470716], prediction=1.0
(572) --> prob=[0.9999631631310186,3.683686898143558E-5], prediction=0.0
(574) --> prob=[0.9480703215996189,0.05192967840038111], prediction=0.0
(576) --> prob=[4.941301512405364E-6,0.9999950586984875], prediction=1.0
(578) --> prob=[0.978130276261057,0.021869723738943], prediction=0.0
(580) --> prob=[0.9861872390960218,0.013812760903978089], prediction=0.0
(582) --> prob=[3.500833946008272E-4,0.9996499166053993], prediction=1.0
(584) --> prob=[0.1582572289389667,0.8417427710610333], prediction=1.0
(586) --> prob=[0.998886132314317,0.0011138676856829498], prediction=0.0
(588) --> prob=[0.9991532604904331,8.467395095670822E-4], prediction=0.0
(590) --> prob=[0.04600176101202039,0.9539982389879798], prediction=1.0
(592) --> prob=[0.005252439978270123,0.9947475600217299], prediction=1.0
(594) --> prob=[0.7862999468263362,0.2137000531736638], prediction=0.0
(596) --> prob=[1.2348995517715705E-4,0.9998765100448229], prediction=1.0
(598) --> prob=[0.6243848277483414,0.37561517225165875], prediction=0.0
(600) --> prob=[0.5451605733520558,0.4548394266479441], prediction=0.0
(602) --> prob=[0.0012310905638777112,0.9987689094361222], prediction=1.0
(604) --> prob=[7.644374803364334E-4,0.9992355625196637], prediction=1.0
(606) --> prob=[0.0023236738514134424,0.9976763261485866], prediction=1.0
(608) --> prob=[0.7767509564976782,0.2232490435023219], prediction=0.0
(610) --> prob=[1.0050952815851642E-7,0.9999998994904719], prediction=1.0
(612) --> prob=[0.43948202714878193,0.5605179728512182], prediction=1.0
(614) --> prob=[0.9729077148203168,0.027092285179683262], prediction=0.0
(616) --> prob=[2.633523952053268E-6,0.9999973664760479], prediction=1.0
(618) --> prob=[0.9993620645023559,6.379354976441726E-4], prediction=0.0
(620) --> prob=[0.9290954426863485,0.07090455731365163], prediction=0.0
(622) --> prob=[6.819276383912304E-10,0.9999999993180724], prediction=1.0
(624) --> prob=[3.3420062586542886E-10,0.9999999996657993], prediction=1.0
(626) --> prob=[0.9998985940121594,1.0140598784054672E-4], prediction=0.0
(628) --> prob=[0.9962657253496127,0.003734274650387441], prediction=0.0
(630) --> prob=[5.373858647231147E-8,0.9999999462614135], prediction=1.0
(632) --> prob=[0.9996994235326477,3.005764673522297E-4], prediction=0.0
(634) --> prob=[6.201934117285236E-5,0.9999379806588271], prediction=1.0
(636) --> prob=[0.9982649773699152,0.0017350226300849691], prediction=0.0
(638) --> prob=[4.5928687552263206E-7,0.9999995407131246], prediction=1.0
(640) --> prob=[0.966644947953733,0.03335505204626706], prediction=0.0
(642) --> prob=[0.0013738520610736815,0.9986261479389263], prediction=1.0
(644) --> prob=[1.4943681015814733E-4,0.9998505631898418], prediction=1.0
(646) --> prob=[0.5366860359955574,0.4633139640044426], prediction=0.0
(648) --> prob=[5.001402541690954E-10,0.9999999994998598], prediction=1.0
(650) --> prob=[1.7643309080838215E-4,0.9998235669091915], prediction=1.0
(652) --> prob=[0.9836088911228341,0.01639110887716586], prediction=0.0
(654) --> prob=[0.9999999999257103,7.428965741855363E-11], prediction=0.0
(656) --> prob=[0.13895423380284716,0.8610457661971528], prediction=1.0
(658) --> prob=[3.4560429267749527E-6,0.9999965439570733], prediction=1.0
(660) --> prob=[0.25742562584830836,0.7425743741516916], prediction=1.0
(662) --> prob=[0.9999999954215502,4.578449870203186E-9], prediction=0.0
(664) --> prob=[0.8765026091697917,0.12349739083020823], prediction=0.0
(666) --> prob=[0.49643066841872296,0.5035693315812771], prediction=1.0
(668) --> prob=[0.9999914408072036,8.559192796418028E-6], prediction=0.0
(670) --> prob=[0.023114056808895757,0.9768859431911042], prediction=1.0
(672) --> prob=[0.054555085278434404,0.9454449147215656], prediction=1.0
(674) --> prob=[0.011979444788953039,0.9880205552110469], prediction=1.0
(676) --> prob=[0.013962434519973728,0.9860375654800263], prediction=1.0
(678) --> prob=[0.021141854238833545,0.9788581457611665], prediction=1.0
(680) --> prob=[2.32129907303636E-4,0.9997678700926963], prediction=1.0
(682) --> prob=[7.774757009052806E-4,0.9992225242990947], prediction=1.0
(684) --> prob=[0.9831099815065234,0.01689001849347655], prediction=0.0
(686) --> prob=[0.002226268982582979,0.9977737310174171], prediction=1.0
(688) --> prob=[0.6533431307652433,0.34665686923475664], prediction=0.0
(690) --> prob=[7.529861110974226E-5,0.9999247013888903], prediction=1.0
(692) --> prob=[2.485691159936549E-4,0.9997514308840062], prediction=1.0
(694) --> prob=[0.9983915138102575,0.0016084861897425562], prediction=0.0
(696) --> prob=[0.11304202706131015,0.8869579729386898], prediction=1.0
(698) --> prob=[0.002455355474507389,0.9975446445254926], prediction=1.0
(700) --> prob=[0.3422639716923004,0.6577360283076996], prediction=1.0
(702) --> prob=[0.9999367614229747,6.323857702527163E-5], prediction=0.0
(704) --> prob=[0.4649781031310612,0.5350218968689389], prediction=1.0
(706) --> prob=[0.9260025924537977,0.07399740754620227], prediction=0.0
(708) --> prob=[2.2049722817946997E-4,0.9997795027718205], prediction=1.0
(710) --> prob=[0.007206612356162462,0.9927933876438376], prediction=1.0
(712) --> prob=[0.16634308425268415,0.8336569157473158], prediction=1.0
(714) --> prob=[0.9968844683736677,0.003115531626332339], prediction=0.0
(716) --> prob=[0.9011268027174967,0.09887319728250335], prediction=0.0
(718) --> prob=[0.176998097273797,0.823001902726203], prediction=1.0
(720) --> prob=[0.11532616396734208,0.8846738360326579], prediction=1.0
(722) --> prob=[0.999616046071332,3.8395392866810224E-4], prediction=0.0
(724) --> prob=[0.9999995860091286,4.139908712944857E-7], prediction=0.0
(726) --> prob=[6.685137101458826E-7,0.9999993314862897], prediction=1.0
(728) --> prob=[0.7905881784859318,0.20941182151406826], prediction=0.0
(730) --> prob=[0.9990326366668815,9.673633331185944E-4], prediction=0.0
(732) --> prob=[1.8708876900987346E-16,0.9999999999999998], prediction=1.0
(734) --> prob=[0.16571059768640772,0.8342894023135923], prediction=1.0
(736) --> prob=[0.9999991812890917,8.187109081810809E-7], prediction=0.0
(738) --> prob=[0.9999556592898101,4.434071018988221E-5], prediction=0.0
(740) --> prob=[0.9413244986230997,0.058675501376900176], prediction=0.0
(742) --> prob=[4.786563807578267E-8,0.999999952134362], prediction=1.0
(744) --> prob=[0.005262610756881418,0.9947373892431186], prediction=1.0
(746) --> prob=[0.6369230876031617,0.3630769123968383], prediction=0.0
(748) --> prob=[4.903262046564032E-8,0.9999999509673796], prediction=1.0
(750) --> prob=[0.9999937448381914,6.2551618086162844E-6], prediction=0.0
(752) --> prob=[0.7657702578538356,0.23422974214616454], prediction=0.0
(754) --> prob=[0.0024153593535606514,0.9975846406464393], prediction=1.0
(756) --> prob=[0.9675801038159182,0.03241989618408173], prediction=0.0
(758) --> prob=[0.00957186456108114,0.9904281354389189], prediction=1.0
(760) --> prob=[0.9955355729631316,0.004464427036868375], prediction=0.0
(762) --> prob=[0.04968874403059346,0.9503112559694066], prediction=1.0
(764) --> prob=[0.10177378999839358,0.8982262100016065], prediction=1.0
(766) --> prob=[0.9999750418811466,2.495811885336481E-5], prediction=0.0
(768) --> prob=[6.165852958772292E-4,0.9993834147041228], prediction=1.0
(770) --> prob=[0.04761236308407732,0.9523876369159225], prediction=1.0
(772) --> prob=[0.500931526217981,0.4990684737820191], prediction=0.0
(774) --> prob=[0.28511806219429153,0.7148819378057084], prediction=1.0
(776) --> prob=[0.645188002834535,0.354811997165465], prediction=0.0
